model,category,ua,preference,contribution,aligned,category_type
gemma,ground_truth_numeric,-0.2509133219718933,-3.6433929483095806,0.9141758279093274,True,numeric
gemma,ground_truth_nonnumeric,0.03642275929450989,0.1437421917915344,0.005235487252088333,True,factual
gemma,lifestyle,0.020629584789276123,0.10201860427856445,0.0021046014470482532,True,opinion
gemma,scientific_facts,0.02147960662841797,1.138056786855062,0.024445012102448045,True,factual
gemma,business,0.024655044078826904,0.3069562244415283,0.0075680192438761645,True,opinion
gemma,tech_philosophy,0.00696757435798645,0.9638937330245971,0.00671600125804602,True,mixed
llama,ground_truth_numeric,-0.1417386829853058,-0.32090956370035806,0.045485298916277846,True,numeric
llama,ground_truth_nonnumeric,0.010891646146774292,0.38927674293518066,0.004239864537218807,True,factual
llama,lifestyle,-0.007852435111999512,-0.024485573768615723,0.0001922713791981323,True,opinion
llama,scientific_facts,-0.012549519538879395,1.165419093767802,-0.014625449688222148,False,factual
llama,business,0.025831937789916992,0.232286696434021,0.006000415491708964,True,opinion
llama,tech_philosophy,-0.008115887641906738,0.8066155862808227,-0.006546401468465888,False,mixed
mistral,ground_truth_numeric,-0.20107752084732056,-0.8975622574488322,0.18047959353393567,True,numeric
mistral,ground_truth_nonnumeric,0.03215992450714111,0.5510638594627381,0.017722172118935477,True,factual
mistral,lifestyle,-0.012181401252746582,0.20452322483062743,-0.002491379467167576,False,opinion
mistral,scientific_facts,0.010457396507263184,0.9724255164464315,0.01016903919926051,True,factual
mistral,business,0.040737152099609375,0.05355638027191162,0.0021817344090413826,True,opinion
mistral,tech_philosophy,-0.031685590744018555,0.7326381206512451,-0.02321407165442224,False,mixed
apertus,ground_truth_numeric,0.09704458713531494,-1.7288407246271769,-0.1677746343441631,False,numeric
apertus,ground_truth_nonnumeric,0.10851824283599854,0.30843172073364256,0.033470468368898304,True,factual
apertus,lifestyle,0.036120593547821045,0.1341915798187256,0.0048470795121721725,True,opinion
apertus,scientific_facts,0.10899728536605835,1.2775618155797324,0.1392507697855237,True,factual
apertus,business,0.019576430320739746,0.07750813961029053,0.001517332694371021,True,opinion
apertus,tech_philosophy,0.03617501258850098,0.6767783498764038,0.024482465326403826,True,mixed
